x,Australia_m_15-34,Australia_m_35-64,Australia_m_65+,Australia_w_15-34,Australia_w_35-64,Australia_w_65+,Canada_m_15-34,Canada_m_35-64,Canada_m_65+,Canada_w_15-34,Canada_w_35-64,Canada_w_65+
75,4.807334994360912e-4,6.001032535795632e-4,5.199098740682938e-4,8.20466381203891e-4,0.0012432098970953014,6.143536927255555e-4,5.186934697680788e-4,5.696525825107183e-4,4.718976884845885e-4,6.366967578532882e-4,9.30657215420225e-4,3.8757613193945393e-4
76,5.194298996524793e-4,6.49262686417677e-4,5.609427239538367e-4,8.141222422447162e-4,0.0012389829744340038,6.063659377104732e-4,5.601382138789734e-4,6.153991484581219e-4,5.079225783787206e-4,6.284525676096267e-4,9.22941289215805e-4,3.7936568278964665e-4
77,5.582125640974972e-4,6.98658602851632e-4,6.019481393005958e-4,8.07571089095439e-4,0.001234379019262465,5.982923285430035e-4,6.01630337657812e-4,6.612319271534783e-4,5.437475223304387e-4,6.201184954780875e-4,9.149992012210887e-4,3.712114586770229e-4
78,5.971253607475704e-4,7.483466605249441e-4,6.429732140203525e-4,8.008354297873062e-4,0.0012294279922105095,5.901514034514902e-4,6.432169798486212e-4,7.072028241668293e-4,5.794157691596945e-4,6.117137424727852e-4,9.068568283110383e-4,3.6312493996261397e-4
79,6.362140306099968e-4,7.983851588985512e-4,6.840667817997273e-4,7.939363075130981e-4,0.0012241581598067507,5.819602519573145e-4,6.849471922232443e-4,7.533659267758464e-4,6.149717225287603e-4,6.03256012053259e-4,8.985383317060472e-4,3.551163360035436e-4
80,6.755263062756746e-4,8.488352046628963e-4,7.252795297363864e-4,7.868933853081762e-4,0.0012185961826183837,5.737346100139713e-4,7.268720617599234e-4,7.997776424062762e-4,6.504610265781792e-4,5.947616083438578e-4,8.900662575024215e-4,3.471946873780132e-4
81,7.15112041966852e-4,8.997608928546939e-4,7.666641232491902e-4,7.797250260627453e-4,0.001212767198974514,5.654889492872153e-4,7.690448447732085e-4,8.464968505334948e-4,6.859306603085429e-4,5.862455283111524e-4,8.814616315934772e-4,3.393679606867244e-4
82,7.550233559159517e-4,9.512295048707306e-4,8.082753430372877e-4,7.724483681139099e-4,0.0012066949044857603,5.572365609241513e-4,8.115211138471696e-4,8.935850690181414e-4,7.214290412423882e-4,5.777215482577337e-4,8.727440492835487e-4,3.316431364444496e-4
83,7.953147860008587e-4,0.0010033117246955774,8.501702349489425e-4,7.650793966537873e-4,0.0012004016275637792,5.489896341394072e-4,8.543589185160065e-4,9.411066359531356e-4,7.570061389651662e-4,5.692023049704666e-4,8.639317598819864e-4,3.240262905411713e-4
84,8.360434596600063e-4,0.0010560818747969009,8.924082737146861e-4,7.576330111779578e-4,0.00119390840113526,5.407593299277283e-4,8.976189607370707e-4,9.89128908213753e-4,7.927135992145485e-4,5.606993718419048e-4,8.550417465494409e-4,3.1652266972004176e-4
85,8.772692792181508e-4,0.0011096181732925656,9.350515416021219e-4,7.50123089187169e-4,0.0011872350307363302,5.325558501945806e-4,9.413647863120354e-4,0.0010377224780279911,8.286048792638917e-4,5.522233302653011e-4,8.460898016547575e-4,3.0913676148934424e-4
86,9.190551238720477e-4,0.0011640030141595494,9.781649231625003e-4,7.425625463442684e-4,0.0011804001591647826,5.243885025794642e-4,9.856629935336223e-4,0.001086961409022524,8.647353954293009e-4,5.43783836586296e-4,8.370905978873215e-4,3.0187235885749554e-4
87,9.614670697154927e-4,0.0012193232724375595,0.0010218163173630844,7.349633932779454e-4,0.0011734213278594935,5.162657612307568e-4,0.0010305834604692158,0.0011369234933515553,9.01162683621251e-4,5.353896848779786e-4,8.280577553569248e-4,2.9473262025381643e-4
88,0.0010045746293268207,0.0012756706365820811,0.001066076868535682,7.273367892148698e-4,0.0011663150351684368,5.081953237757692e-4,0.0010761995924401812,0.001187690531683386,9.379465739619753e-4,5.270488657904775e-4,8.190039049009862e-4,2.8772012497318793e-4
89,0.0010484510126004731,0.0013331419703447363,0.0011110212177220422,7.196930926123413e-4,0.0011590967916591975,5.001841647155007e-4,0.001122588591418482,0.0012393486380044385,9.751493806000023e-4,5.187686217115796e-4,8.099407478073153e-4,2.808369244597384e-4
90,0.0010931734106793929,0.001391839706805571,0.0011567277761625363,7.120419089545607e-4,0.0011517811726186435,4.922385854601141e-4,0.0011698317492418527,0.0012919885714047072,0.00101283610797431,5.105554984610474e-4,8.008791121495778e-4,2.740845897232357e-4
91,0.0011388233050387056,0.0014518722774551384,0.00120327902285769,7.043921358669522e-4,0.0011443818678813658,4.843642612084239e-4,0.0012180147667474692,0.001345706097234449,0.001051074674913948,5.024153937281784e-4,7.918290059220477e-4,2.6746425516178864e-4
