region,year,gender,age_group,im,outcome,af_entire_1
Canada,2010,m,15-34,_62,Morbidity,0.4908525456083403
Canada,2010,m,15-34,_63,Morbidity,0.37632839706082555
Canada,2010,m,15-34,_12,Mortality,0.06482353034873092
Canada,2010,m,15-34,_23,Mortality,0.22604768395769953
Canada,2010,m,15-34,_24,Mortality,0.1884523652731705
Canada,2010,m,15-34,_25,Mortality,0.0836134984188425
Canada,2010,m,15-34,_31,Mortality,0.029372024765550363
Canada,2010,m,15-34,_51,Mortality,0.23073772976916562
Canada,2010,m,15-34,_52,Mortality,0.07003755269538631
Canada,2010,m,15-34,_55,Mortality,0.19403028017812987
Canada,2010,m,15-34,_56,Mortality,0.02734567338434712
Canada,2010,m,15-34,_57,Mortality,0.7284662313386067
Canada,2010,m,15-34,_62,Mortality,0.7284662313386067
Canada,2010,m,15-34,_63,Mortality,0.37632839706082555
Canada,2010,m,15-34,_11,Morbidity,0.4781206286554503
Canada,2010,m,15-34,_13,Morbidity,0.12171421201928308
Canada,2010,m,15-34,_21,Morbidity,0.5601292547946692
